# Lote de cartas Foil — agosto/2026
# Formato aceito pelo painel admin ("Adicionar cartas por link") e por
# scripts/add-cards-by-link.mjs:  Nome da carta | link da imagem
# TCG: Magic · Tipo: Foil
A Realm Reborn Chocobotrackfoil | https://lh3.googleusercontent.com/pw/AP1GczOL9dHGgFnHRhK5X9JTqwPSujFE8IZnj9nCBXUI_O3Z1UASLcrkJu2u3tAVKktRbtWapDCDWr70mVoh4qaPqIdGVTu-APcxX05PivH4eV_BEtlw7hM=w1600-h1600-s-no-gm?authuser=0
Aang, Swift Savior/Aang and La, Ocean's Fury #359 NEON FOIL | https://lh3.googleusercontent.com/pw/AP1GczPJTqOwMGxqWT8nqqgUFsLgY1K1QeN-nwVbD_6cywZcp-JHs2TIBH4hO2a4lNP5j15H4Kv7S-8UaHqBLBn3PspXU3Se9hvWQ_WSXgzm93HoEiu0CWg=w1600-h1600-s-no-gm?authuser=0
Aerith Gainsborough PPRO foil | https://lh3.googleusercontent.com/pw/AP1GczPqxVnPjvcdMKTtv3ayVzd0sLOOaORr34yeLUBYH5jTyPfxg-xCQwRLUaJTXca3C68Ko25PKZdfwxNf_ItIz315whvFJNNFmE2qUU72Rlvv4gLWD9Q=w1600-h1600-s-no-gm?authuser=0
Arid Mesa SPG #114 Dragonscale foil-EN | https://lh3.googleusercontent.com/pw/AP1GczOmiCXmEmwWKleBWQz9x4SDsWZ60SktbFuDSdCpuHByr7ZhcnWYyjqhe05Yfof8nL16DPIOrGnDv0Z5fo4vI_TaOFp-Bt8ZAJVItwXxM24YtNO2RWs=w1600-h1600-s-no-gm?authuser=0
Arid Mesa SPG #114 Dragonscale foil-JP | https://lh3.googleusercontent.com/pw/AP1GczPEi1b0JSbsLxQCSqSdgO58qOeSaQtd3bb_ePkf49LdV2bSXl8XBrPWN4nLWhSFSB9GEDo7N_v3MbBAPzUHzXSj4_8JTNGkjHExskvoL7q3EFoL9zw=w1600-h1600-s-no-gm?authuser=0
Aura Shards SLD #2694 foil | https://lh3.googleusercontent.com/pw/AP1GczOURoTAaDN7M2iyb9O3cHjahpygZl9cLML03tZcfopRkWPPQWKfzeShTO0QZWIgEmRGtUYI87IslciYCXrKgSOdIQh5sQawobZqmwb4wod6hWTYZQg=w1600-h1600-s-no-gm?authuser=0
Avacyn, Angel of Hope New V15 foil | https://lh3.googleusercontent.com/pw/AP1GczNdpm6-Xt2UXa7O5q9IFSJTjkR1tVjkmwONN-v9FjLmiRiUIsVUcpHAdWmeYVesHptZ9adUv72rhb_4kkk34j14L4isK6_AAjY-FUsJ7UtDrN7ugTg=w1600-h1600-s-no-gm?authuser=0
Barret, Avalanche Leader Chocobotrackfoil | https://lh3.googleusercontent.com/pw/AP1GczNKoWbsAclP9iiLSbTvglrrKCGINyXRiMU6x9TB8MVDqw1clPm93b1ADN-pfVDHpAjPEwfxBRBJpfkTRxjwYjKjNAACKhJE3xjU1BDwUYtJAdzLHxI=w1600-h1600-s-no-gm?authuser=0
Black Widow, Super Spy MSH #393 foil | https://lh3.googleusercontent.com/pw/AP1GczOWAAJFEScDpRQm3BMEUB9e60fTRGCgsoZZE7yoY9XTSsRner4ht9yOs1DLi8ufHhS6ntbmVinAbe0MO-zoUyc2cS9OXEQi7JCNKuvJxAEWS-2DcrM=w1600-h1600-s-no-gm?authuser=0
Blood Crypt ELC #349 foil | https://lh3.googleusercontent.com/pw/AP1GczN6bmd4mftS8tLKhrFKndKllhXk-xfgLthw1sZF8BUDOXVJimreRH9I24AvUdLbCPGfjxJRsnq3B4Jf5FevOZFSiHTgDMWGzFd7681Xk5Ig49AlA0M=w1600-h1600-s-no-gm?authuser=0
Bruce Banner/The Incredible Hulk MSH #390 foil | https://lh3.googleusercontent.com/pw/AP1GczP5igPtfWWyYcBjXBpAuP-WABlP67YIpZyPG_eJ_0emVhP5_HR88dcRCDfuS0Dw3ON2TXwb5hDjlR-9DK2jsT-vvYNCCLr_fj6oxLeO4Nu7ejFlnhM=w1600-h1600-s-no-gm?authuser=0
